Size,Standard,Hybrid (Threshold=5),Hybrid (Threshold=10),Hybrid (Threshold=20),Hybrid (Threshold=30),Hybrid (Threshold=50)
500,0,0,0,0,0,0
600,0,0,0,0,0,0
700,0,0,0,0,0,0
800,0,0,0,0,0,0
900,0,0,0,0,0,0
1000,0,0,0,0,0,0
1100,0,0,0,0,0,0
1200,0,0,0,0,0,0
1300,0,0,0,0,0,0
1400,0,0,0,0,0,0
1500,0,0,0,0,0,0
1600,0,0,0,0,0,0
1700,0,0,0,0,0,0
1800,0,0,0,0,0,0
1900,1,0,0,0,0,0
2000,1,0,0,0,0,0
2100,1,0,0,0,0,0
2200,1,0,0,0,0,0
2300,1,0,0,0,0,0
2400,1,0,0,0,0,0
2500,1,0,0,0,0,0
2600,1,0,0,0,0,0
2700,1,0,0,0,0,0
2800,1,0,0,0,0,0
2900,1,0,0,0,0,0
3000,1,0,0,0,0,0
3100,1,0,0,0,0,0
3200,1,0,0,0,0,0
3300,1,0,0,0,0,0
3400,1,0,0,0,0,0
3500,1,0,0,0,0,0
3600,2,0,0,0,0,0
3700,2,0,0,0,0,0
3800,2,0,0,0,0,0
3900,2,0,0,0,0,0
4000,2,1,0,0,0,0
4100,2,1,0,0,0,0
4200,2,1,0,0,0,0
4300,2,1,0,0,0,0
4400,2,1,0,0,0,0
4500,2,1,0,0,0,0
4600,2,1,0,0,0,0
4700,2,1,0,0,0,0
4800,2,1,0,0,0,0
4900,2,1,0,0,0,0
5000,2,1,0,0,0,0
5100,2,1,0,0,0,0
5200,2,1,0,0,0,0
5300,2,1,0,0,0,0
5400,3,1,1,0,0,0
5500,3,1,1,0,0,0
5600,3,1,1,0,0,0
5700,3,1,1,1,0,0
5800,3,1,1,1,0,0
5900,3,1,1,1,0,0
6000,3,1,1,1,0,0
6100,3,1,1,1,0,0
6200,3,1,1,1,0,0
6300,3,1,1,1,0,0
6400,3,1,1,1,0,0
6500,3,1,1,1,0,0
6600,3,1,1,1,0,0
6700,4,1,1,1,0,0
6800,3,1,1,1,0,0
6900,4,1,1,1,1,1
7000,4,1,1,1,1,1
7100,4,1,1,1,1,1
7200,4,1,1,1,1,1
7300,4,1,1,1,1,1
7400,4,2,1,1,1,1
7500,4,2,1,1,1,1
7600,4,2,1,1,1,1
7700,4,2,1,1,1,1
7800,4,2,1,1,1,1
7900,4,2,1,1,1,1
8000,4,2,1,1,1,1
8100,4,2,1,1,1,1
8200,4,2,1,1,1,1
8300,5,2,1,1,1,1
8400,5,2,1,1,1,1
8500,5,2,1,1,1,1
8600,5,2,1,1,1,1
8700,5,2,1,1,1,1
8800,5,2,1,1,1,1
8900,5,2,1,1,1,1
9000,5,2,1,1,1,1
9100,5,2,1,1,1,1
9200,5,2,1,1,1,1
9300,5,2,1,1,1,1
9400,5,2,1,1,1,1
9500,5,2,1,1,1,1
9600,5,2,1,1,1,1
9700,5,2,1,1,1,1
9800,5,2,1,1,1,1
9900,5,2,1,1,1,1
10000,6,2,2,1,1,1
